Date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,SEK,SGD,THB,TRY,USD,ZAR
2023-02-17,1.556,1.9558,5.5487,1.4366,0.9896,7.3081,23.715,7.4464,0.88888,8.3349,7.5365,386.61,16160.7,3.785,88.021,154.1,143.18,1383.32,19.7313,4.709,11.015,1.7123,58.831,4.7773,4.9165,11.1983,1.4231,36.741,20.0478,1.0625,19.265
2023-02-16,1.55,1.9558,5.609,1.4334,0.9873,7.3351,23.685,7.449,0.88883,8.3985,7.5365,382.65,16193.38,3.7907,88.4574,154.3,143.31,1376.52,19.872,4.7123,10.9513,1.7033,59.011,4.7765,4.9009,11.142,1.4287,36.738,20.1685,1.07,19.3358
2023-02-15,1.5529,1.9558,5.586,1.4356,0.9885,7.3229,23.666,7.4515,0.88825,8.3983,7.5365,380.58,16320.55,3.773,88.6415,153.9,143.05,1374.34,19.9732,4.7,10.9193,1.7063,59.075,4.76,4.9008,11.14,1.4285,36.771,20.1677,1.07,19.34785
2023-02-14,1.5411,1.9558,5.5552,1.4332,0.987,7.3314,23.749,7.4514,0.88125,8.4457,7.5365,382.45,16303.53,3.7724,89.1227,153.3,142.14,1362.59,20.0122,4.6786,10.8778,1.6962,58.992,4.7623,4.901,11.101,1.427,36.387,20.2779,1.0759,19.22735
2023-02-13,1.5388,1.9558,5.5576,1.4263,0.9849,7.293,23.739,7.4485,0.88281,8.3885,7.5365,385.48,16278.44,3.7814,88.395,153.1,141.65,1364.06,19.8946,4.6618,10.8213,1.6846,58.581,4.7875,4.9031,11.155,1.4229,36.177,20.1377,1.0686,19.166
2023-02-12,1.5432,1.9558,5.6245,1.4364,0.9872,7.2837,23.692,7.4445,0.88348,8.3916,7.5365,389.78,16233.33,3.782,88.2475,152.1,139.88,1354.1,20.054,4.6314,10.871,1.6904,58.207,4.781,4.902,11.163,1.4199,36.057,20.1357,1.069,19.1249
2023-02-11,1.5432,1.9558,5.6245,1.4364,0.9872,7.2837,23.692,7.4445,0.88348,8.3916,7.5365,389.78,16233.33,3.782,88.2475,152.1,139.88,1354.1,20.054,4.6314,10.871,1.6904,58.207,4.781,4.902,11.163,1.4199,36.057,20.1357,1.069,19.1249
2023-02-10,1.5432,1.9558,5.6245,1.4364,0.9872,7.2837,23.692,7.4445,0.88348,8.3916,7.5365,389.78,16233.33,3.782,88.2475,152.1,139.88,1354.1,20.054,4.6314,10.871,1.6904,58.207,4.781,4.902,11.163,1.4199,36.057,20.1357,1.069,19.1249
2023-02-09,1.5409,1.9558,5.6165,1.4423,0.989,7.2992,23.698,7.4419,0.88515,8.4551,7.5365,385.8,16279.95,3.7576,88.8905,151.1,140.8,1355.38,20.3293,4.6488,10.9123,1.6906,58.659,4.7388,4.8935,11.139,1.4237,36.013,20.2844,1.0771,19.0484
2023-02-08,1.5416,1.9558,5.5644,1.4389,0.9881,7.2841,23.782,7.4421,0.888,8.4265,7.5365,388.73,16227.39,3.7408,88.594,151.5,140.81,1351.4,20.2984,4.6144,11.026,1.6971,58.817,4.7385,4.8975,11.3423,1.422,35.973,20.2164,1.0735,18.96315
2023-02-07,1.547,1.9558,5.5216,1.4371,0.9906,7.2608,23.832,7.4415,0.89338,8.3974,7.5365,394.4,16239.13,3.7237,88.5096,152.1,141.3,1348.81,20.4316,4.6035,11.1253,1.6994,59.032,4.7565,4.902,11.3805,1.4199,35.989,20.1478,1.07,18.89375
2023-02-06,1.5596,1.9558,5.5625,1.4459,0.9964,7.309,23.843,7.4432,0.89278,8.4539,7.5365,390.83,16338.36,3.7338,89.0922,152.9,142.41,1353.65,20.4882,4.5884,11.0428,1.7075,58.686,4.7228,4.9055,11.3652,1.4266,36.207,20.2917,1.0776,18.88795
2023-02-05,1.5499,1.9558,5.5414,1.4616,0.9989,7.3689,23.725,7.4443,0.8925,8.5802,7.5365,386.58,16312.7,3.7207,89.592,153.7,140.45,1346.17,20.4625,4.657,10.9783,1.6886,58.721,4.692,4.902,11.3323,1.4331,36.114,20.5806,1.0937,18.83185
2023-02-04,1.5499,1.9558,5.5414,1.4616,0.9989,7.3689,23.725,7.4443,0.8925,8.5802,7.5365,386.58,16312.7,3.7207,89.592,153.7,140.45,1346.17,20.4625,4.657,10.9783,1.6886,58.721,4.692,4.902,11.3323,1.4331,36.114,20.5806,1.0937,18.83185
2023-02-03,1.5499,1.9558,5.5414,1.4616,0.9989,7.3689,23.725,7.4443,0.8925,8.5802,7.5365,386.58,16312.7,3.7207,89.592,153.7,140.45,1346.17,20.4625,4.657,10.9783,1.6886,58.721,4.692,4.902,11.3323,1.4331,36.114,20.5806,1.0937,18.83185
