Date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,SEK,SGD,THB,TRY,USD,ZAR
2023-03-24,1.6189,1.9558,5.7298,1.4816,0.9874,7.3826,23.682,7.4519,0.8794,8.4344,7.5365,386.8,16316.05,3.8755,88.565,150.1,139.85,1401.12,20.0854,4.7579,11.3065,1.7329,58.421,4.6865,4.9305,11.208,1.433,36.748,20.4882,1.0745,19.5755
2023-03-23,1.6242,1.9558,5.6995,1.4875,0.9969,7.4312,23.658,7.4482,0.88523,8.5396,7.5365,384.75,16450.63,3.9371,89.481,149.9,142.87,1396.18,20.1915,4.8063,11.284,1.7373,59.125,4.6868,4.9228,11.222,1.4434,37.119,20.7179,1.0879,19.677100000000003
2023-03-22,1.6132,1.9558,5.6683,1.4782,0.996,7.4238,23.722,7.4472,0.87925,8.4636,7.5365,388.55,16465.08,3.9207,89.08,149.9,143.13,1406.43,20.0036,4.8047,11.332,1.7362,58.683,4.6835,4.9215,11.1535,1.4391,37.1,20.5354,1.0785,19.815800000000003
2023-03-21,1.6136,1.9558,5.6491,1.4726,0.997,7.4058,23.846,7.4465,0.88033,8.4547,7.5365,391.58,16490.75,3.937,89.0308,150.1,142.63,1406.34,20.1454,4.8196,11.3125,1.7412,58.485,4.6998,4.9225,11.099,1.4392,36.929,20.5035,1.0776,19.9094
2023-03-20,1.5978,1.9558,5.6183,1.4669,0.9928,7.3739,23.988,7.445,0.8756,8.4038,7.5365,399.21,16453.38,3.9359,88.49,150.1,140.77,1401.82,20.3003,4.8076,11.421,1.7106,58.281,4.7045,4.9233,11.1564,1.4354,36.513,20.3838,1.0717,19.876
2023-03-19,1.5874,1.9558,5.5872,1.4584,0.9858,7.3117,23.948,7.445,0.87488,8.3387,7.5365,395.93,16332.02,3.9057,87.787,149.3,140.57,1389.84,19.9829,4.7649,11.4218,1.7014,58.118,4.7045,4.9208,11.1995,1.4262,36.246,20.1859,1.0623,19.64245
2023-03-18,1.5874,1.9558,5.5872,1.4584,0.9858,7.3117,23.948,7.445,0.87488,8.3387,7.5365,395.93,16332.02,3.9057,87.787,149.3,140.57,1389.84,19.9829,4.7649,11.4218,1.7014,58.118,4.7045,4.9208,11.1995,1.4262,36.246,20.1859,1.0623,19.64245
2023-03-17,1.5874,1.9558,5.5872,1.4584,0.9858,7.3117,23.948,7.445,0.87488,8.3387,7.5365,395.93,16332.02,3.9057,87.787,149.3,140.57,1389.84,19.9829,4.7649,11.4218,1.7014,58.118,4.7045,4.9208,11.1995,1.4262,36.246,20.1859,1.0623,19.64245
2023-03-16,1.5932,1.9558,5.6005,1.4565,0.982,7.3045,24.011,7.4476,0.8782,8.3165,7.5365,396.43,16365.21,3.889,87.7298,150.1,140.18,1388.4,20.2064,4.772,11.4487,1.715,58.188,4.6963,4.9215,11.1781,1.4276,36.436,20.1194,1.0595,19.48735
2023-03-15,1.5888,1.9558,5.5672,1.4504,0.9727,7.2865,23.942,7.4446,0.87243,8.2796,7.5365,397.5,16352.53,3.833,87.3125,150.3,139.51,1393.75,19.9704,4.7296,11.34,1.7006,58.051,4.7,4.9218,11.202,1.4245,36.552,20.0269,1.0549,19.44745
